Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-5g79,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID
1,1708694107492,23/02/2024 13:15:07,1708697707492,1,23/02/2024 15:15:07,143587,31,questionnaire-mcpk,,35454673,xqls8,9856425,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 121.0.0.0,1440x900,1440x813,,,0,Thank you for your partipation,3,Stroop ,,,,,5,,BEGIN,,,,,
2,1708694124836,23/02/2024 13:15:24,1708697724836,1,23/02/2024 15:15:24,143587,31,questionnaire-mcpk,,35454673,xqls8,9856425,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 121.0.0.0,1440x900,1440x813,,,0,Thank you for your partipation,3,Stroop ,,,,,5,,END,,,,,
END OF FILE
