Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-5g79,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID
1,1723465817249,12/08/2024 12:30:17,1723473017249,2,12/08/2024 16:30:17,143587,32,questionnaire-mcpk,,39515893,wbij5,9856551,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,3440x1440,3440x1271,,,0,Thank you for your partipation,3,Stroop ,,,,,info,,BEGIN,,,,,
2,1723465835721,12/08/2024 12:30:35,1723473035721,2,12/08/2024 16:30:35,143587,32,questionnaire-mcpk,,39515893,wbij5,9856551,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,3440x1440,3440x1271,,,0,Thank you for your partipation,3,Stroop ,,,,,info,,END,,,,,
END OF FILE
